id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
96,Proposed DRL,7-4-1,balanced_600,5,121.0,100.0,112.0,,333.0,0.05,0.044444444444444446,0.045,0.0,0.13944444444444445,0.6722222222222223,0.625,0.691358024691358,,0.6633466135458167
97,Proposed DRL,7-4-1,balanced_600,6,18.0,110.0,127.0,64.0,319.0,0.008333333333333333,0.04722222222222222,0.05555555555555555,0.028333333333333332,0.13944444444444445,0.6,0.6470588235294118,0.635,0.6274509803921569,0.6354581673306773
98,Proposed DRL,7-4-1,balanced_600,7,156.0,4.0,106.0,13.0,279.0,0.07,0.005555555555555556,0.05555555555555555,0.008333333333333333,0.13944444444444445,0.6190476190476191,0.2,0.53,0.43333333333333335,0.5557768924302788
99,Proposed DRL,7-4-1,balanced_700,1,137.0,93.0,137.0,,367.0,0.05277777777777778,0.03388888888888889,0.05277777777777778,0.0,0.13944444444444445,0.7210526315789474,0.7622950819672131,0.7210526315789474,,0.7310756972111554
100,Proposed DRL,7-4-1,balanced_700,2,90.0,69.0,137.0,89.0,385.0,0.03333333333333333,0.027777777777777776,0.04777777777777778,0.030555555555555555,0.13944444444444445,0.75,0.69,0.7965116279069767,0.8090909090909091,0.7669322709163346
101,Proposed DRL,7-4-1,balanced_700,3,185.0,13.0,133.0,7.0,338.0,0.075,0.008333333333333333,0.05333333333333334,0.002777777777777778,0.13944444444444445,0.6851851851851852,0.43333333333333335,0.6927083333333334,0.7,0.6733067729083665
102,Proposed DRL,7-4-1,balanced_700,4,49.0,133.0,173.0,,355.0,0.019444444444444445,0.04777777777777778,0.07222222222222222,0.0,0.13944444444444445,0.7,0.7732558139534884,0.6653846153846154,,0.7071713147410359
103,Proposed DRL,7-4-1,balanced_700,5,95.0,80.0,206.0,,381.0,0.03611111111111111,0.030555555555555555,0.07277777777777777,0.0,0.13944444444444445,0.7307692307692307,0.7272727272727273,0.7862595419847328,,0.7589641434262948
104,Proposed DRL,7-4-1,balanced_700,6,47.0,144.0,120.0,51.0,362.0,0.019444444444444445,0.050555555555555555,0.05,0.019444444444444445,0.13944444444444445,0.6714285714285714,0.7912087912087912,0.6666666666666666,0.7285714285714285,0.7211155378486056
105,Proposed DRL,7-4-1,balanced_700,7,207.0,25.0,74.0,26.0,332.0,0.08888888888888889,0.011111111111111112,0.03111111111111111,0.008333333333333333,0.13944444444444445,0.646875,0.625,0.6607142857142857,0.8666666666666667,0.6613545816733067
106,Proposed DRL,7-4-1,balanced_800,1,173.0,90.0,140.0,6.0,409.0,0.058888888888888886,0.027777777777777776,0.05,0.002777777777777778,0.13944444444444445,0.8160377358490566,0.9,0.7777777777777778,0.6,0.8147410358565738
107,Proposed DRL,7-4-1,balanced_800,2,129.0,44.0,197.0,51.0,421.0,0.042222222222222223,0.016666666666666666,0.06388888888888888,0.016666666666666666,0.13944444444444445,0.8486842105263158,0.7333333333333333,0.8565217391304348,0.85,0.8386454183266933
108,Proposed DRL,7-4-1,balanced_800,3,224.0,25.0,115.0,8.0,372.0,0.08388888888888889,0.011111111111111112,0.041666666666666664,0.002777777777777778,0.13944444444444445,0.7417218543046358,0.625,0.7666666666666667,0.8,0.7410358565737052
109,Proposed DRL,7-4-1,balanced_800,4,52.0,139.0,198.0,,389.0,0.019444444444444445,0.04777777777777778,0.07222222222222222,0.0,0.13944444444444445,0.7428571428571429,0.8081395348837209,0.7615384615384615,,0.7749003984063745
110,Proposed DRL,7-4-1,balanced_800,5,122.0,100.0,181.0,,403.0,0.042222222222222223,0.03611111111111111,0.06111111111111111,0.0,0.13944444444444445,0.8026315789473685,0.7692307692307693,0.8227272727272728,,0.8027888446215139
