id,method,layout,inflow,intersection,queue_avg,queue_max,delay_avg,delay_max,speed_avg,num_phase_changes,reward
154,Proposed DRL,7-4-1,unbalanced,7,14.787698412698411,36.33642857142857,8.02905325443787,34.02869822485207,25.78623015873016,46,116.0
155,Macro-State DRL,7-4-1,unbalanced,1,20.448968253968257,35.69087301587302,17.261484716157206,57.810349344978164,21.610912698412697,51,87.7
156,Macro-State DRL,7-4-1,unbalanced,2,60.929761904761904,121.94500000000001,28.75381443298969,83.55701030927838,17.547460317460317,47,81.89999999999999
157,Macro-State DRL,7-4-1,unbalanced,3,11.151626984126985,24.01920634920635,14.443864734299522,103.31898550724641,28.04031746031746,49,109.81
158,Macro-State DRL,7-4-1,unbalanced,4,25.80611111111111,49.454325396825396,12.131256038647344,41.45091787439613,22.04011904761905,51,91.47
159,Macro-State DRL,7-4-1,unbalanced,5,31.490277777777777,55.99873015873017,20.801242937853107,63.56045197740114,18.11996031746032,51,72.47
160,Macro-State DRL,7-4-1,unbalanced,6,10.154920634920634,21.33059523809524,9.714497607655503,37.7144976076555,28.654047619047617,50,113.44
161,Macro-State DRL,7-4-1,unbalanced,7,17.350555555555555,35.423412698412704,5.928,28.41807692307692,24.268015873015873,43,104.53999999999999
162,4-Phase DRL,7-4-1,unbalanced,1,23.545119047619043,55.64710317460318,14.681615720524018,48.01751091703058,21.00031746031746,47,88.37
163,4-Phase DRL,7-4-1,unbalanced,2,53.27869047619048,130.54301587301586,20.44388888888889,54.102666666666664,18.32936507936508,42,76.85
164,4-Phase DRL,7-4-1,unbalanced,3,22.789325396825397,56.9206746031746,16.58195238095238,80.40009523809522,20.433214285714286,46,87.36
165,4-Phase DRL,7-4-1,unbalanced,4,36.562658730158724,88.59666666666666,14.424461538461541,42.948974358974354,18.33869047619048,49,69.65
166,4-Phase DRL,7-4-1,unbalanced,5,39.547063492063494,99.94646825396823,19.714095744680847,59.615212765957445,16.704007936507935,46,64.38999999999999
167,4-Phase DRL,7-4-1,unbalanced,6,20.411190476190477,56.523809523809526,11.185974025974026,38.80770562770564,24.81813492063492,50,104.74
168,4-Phase DRL,7-4-1,unbalanced,7,24.0406746031746,63.79075396825399,14.722336448598135,57.350607476635524,20.15714285714286,40,92.75
169,SCOOT,7-4-1-sb,balanced_500,1,15.08215139442231,35.17860557768924,11.890555555555556,44.26384615384616,22.208087649402394,43,
170,SCOOT,7-4-1-sb,balanced_500,2,11.811434262948207,25.825617529880475,8.592670157068063,30.53251308900523,25.456055776892427,33,
171,SCOOT,7-4-1-sb,balanced_500,3,11.131513944223109,25.59223107569721,6.185093457943925,26.246915887850466,25.0795219123506,43,
172,SCOOT,7-4-1-sb,balanced_500,4,11.507689243027889,21.76677290836653,9.971897435897436,35.2294358974359,23.825537848605578,41,
173,SCOOT,7-4-1-sb,balanced_500,5,18.510916334661353,40.548605577689244,12.836858638743456,40.92931937172775,20.398764940239044,42,
174,SCOOT,7-4-1-sb,balanced_500,6,9.81577689243028,20.11059760956175,7.162758620689655,29.447112068965517,26.909601593625496,41,
175,SCOOT,7-4-1-sb,balanced_500,7,11.126254980079679,24.60458167330677,8.206650717703349,31.311626794258373,25.498087649402393,35,
176,Proposed DRL,7-4-1-sb,balanced_500,1,6.674603174603175,14.22345238095238,5.684017857142857,25.822901785714286,30.82662698412698,51,117.85999999999999
177,Proposed DRL,7-4-1-sb,balanced_500,2,4.463333333333332,11.258809523809525,4.5309793814432995,28.760051546391757,36.18123015873016,51,139.65
178,Proposed DRL,7-4-1-sb,balanced_500,3,4.937738095238095,12.106785714285715,4.709333333333333,30.845952380952383,33.70194444444444,47,124.49
179,Proposed DRL,7-4-1-sb,balanced_500,4,5.674722222222222,11.910396825396825,6.043756613756614,30.1015873015873,30.816468253968257,51,108.58000000000001
